,Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTerm
7438,2017,451965.0,9,1,1,1,1,523.0,3,6,73,93,0,1.0,California,CA,,2.6,3.989807692307693,2493.8098283120453,321.78191333058646,4.8,360
7440,2017,451965.0,9,1,1,1,1,142.0,1,37,67,63,0,,North Carolina,NC,537.0,1.9,3.989807692307693,677.0955939202877,128.97058931815005,4.6,360
7444,2017,451965.0,9,1,1,1,1,78.0,1,1,89,74,0,,Alabama,AL,210.9,1.7,3.989807692307693,371.92574877311574,60.31228358482958,4.4,360
7445,2017,451965.0,9,1,1,1,1,150.0,3,18,57,12,0,1.0,Indiana,IN,352.3,1.8,3.989807692307693,715.2418245636842,715.2418245636842,3.5,360
7455,2017,451965.0,9,1,1,1,1,115.0,3,48,209,99,0,9.0,Texas,TX,,1.1,3.989807692307693,548.3520654988245,66.46691703016054,4.3,360
7458,2017,451965.0,9,1,1,1,1,227.0,1,27,53,89,0,,Minnesota,MN,345.3,1.7,3.989807692307693,1082.3992945063753,145.94147791097194,3.5,360
7466,2017,451965.0,9,1,1,1,1,96.0,3,29,37,19,0,1.0,Missouri,MO,310.5,1.6,3.989807692307693,457.7547677207578,289.1082743499523,3.8,360
7469,2017,451965.0,9,1,1,1,1,161.0,3,47,187,37,0,1.0,Tennessee,TN,341.3,2.1,3.989807692307693,767.6928916983543,248.98147838865543,3.7,360
7470,2017,451965.0,9,1,1,1,1,133.0,1,27,53,61,0,,Minnesota,MN,345.3,1.7,3.989807692307693,634.1810844464666,124.75693464520654,3.5,360
7488,2017,451965.0,9,1,1,1,1,340.0,3,20,91,163,0,1.0,Kansas,KS,156.4,1.0,3.989807692307693,1621.2148023443508,119.35323698240619,3.6,360
7505,2017,451965.0,9,1,1,1,1,124.0,3,33,11,64,0,1.0,New Hampshire,NH,81.3,2.7,3.989807692307693,591.2665749726455,110.86248280737102,2.7,360
7507,2017,451965.0,9,1,1,1,1,119.0,1,27,53,76,0,,Minnesota,MN,345.3,1.7,3.989807692307693,567.4251808205228,89.59344960324044,3.5,360
7516,2017,451965.0,9,1,1,1,2,138.0,1,45,51,195,0,,South Carolina,SC,217.8,2.1,3.989807692307693,658.0224785985894,40.493690990682424,4.3,360
